form,entry_type,expanded_status,source_status,source_entry_type,source_refs,core_meaning,attested_evidence,promotion_reason,canon_confidence,notes
KAV,root,promoted_root,canon_lexical_family,lexical evidence,LX-V4-0027; LX-V3-0044,Age; preservation; ancient duration,Kaveth; Velkavor,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from lexical family
SEL,root,promoted_root,canon_lexical_family,lexical evidence,LX-V4-0022,Physical clarity; purity; absence of grime,Selineth,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from lexical family
FEL,morpheme,established_morpheme,explicit_morpheme_in_source_db,Marker,RM-V3-0004,Smallness; youth; diminishment,Fel marker; Kadfel; Felin,"Already formalized in the canon root/morphology database, but as a morpheme rather than a root.",high,Established as marker and lexical family
VEL,root,promoted_root,explicit_morpheme_in_source_db,Suffix,RM-V3-0013,Wisdom; stillness; cold endurance,Velar; Veleth; Velrathor,"Already formalized in the canon root/morphology database, but as a morpheme rather than a root.",high,Promoted from broad lexical family
THAR,root,established_root,explicit_root_in_source_db,Conceptual root,RM-S3-0017,Heart; will; emotional core of self,thar; thar-ka; Morlathar,Already formalized as a root in the canon root/morphology database.,high,Canonical conceptual root
ZHIR,root,established_root,explicit_root_in_source_db,Conceptual root,RM-S3-0026,Lineage; thread; connection through time,zhirin; zhiren; zhirkalor,Already formalized as a root in the canon root/morphology database.,high,Canonical conceptual root
KEL,root,established_root,explicit_root_in_source_db,Conceptual root,RM-S3-0027,Speech; naming; definition,kel; kelrin; kelka,Already formalized as a root in the canon root/morphology database.,high,Canonical conceptual root
KHUM,root,established_root,explicit_root_in_source_db,Root; Conceptual root,RM-V2-0025; RM-S3-0025,Circle; listening; reconciliation,khumlor; khumrel; khumeth,Already formalized as a root in the canon root/morphology database.,high,Canonical conceptual root
TLA,root,established_root,explicit_root_in_source_db,Root,RM-V2-0023,Intimacy; closeness; unspoken connection,tlavor; tlakorin; tlakhura,Already formalized as a root in the canon root/morphology database.,high,Canonical conceptual root
PRAL,root,established_root,explicit_root_in_source_db,Root,RM-V2-0010,Intricacy; detail; skilled craftsmanship,pralaen; pralor; pralmor,Already formalized as a root in the canon root/morphology database.,high,Canonical root family
JOR,root,established_root,explicit_root_in_source_db,Root,RM-V2-0011,Surge; burst; energetic flow,jor; jorkal; jorvak,Already formalized as a root in the canon root/morphology database.,high,Canonical root family
JEK,root,established_root,explicit_root_in_source_db,Root,RM-V2-0012,Spiral; twist; swirling form,jek; jekvor; jekvarin,Already formalized as a root in the canon root/morphology database.,high,Canonical root family
WEK,root,established_root,explicit_root_in_source_db,Root,RM-V2-0016,Cycle; repetition; patterned return,weknor; lunwek; tharvin-wek,Already formalized as a root in the canon root/morphology database.,high,Canonical root family
LOR,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0039; LX-V3-0003; LX-V2-0083,Guidance; sight; focus of leadership,lorin; Liorin; Lorash,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from lexical family
KAL,root,established_root,explicit_root_in_source_db,Conceptual root,RM-S3-0014,Power; strength; force; weight,kal; Kaleth; Serenkal,Already formalized as a root in the canon root/morphology database.,high,Canonical root family
WOR,root,established_root,explicit_root_in_source_db,Root,RM-V2-0017,Abundance; plenty; fullness,wor; woreth; worvenak,Already formalized as a root in the canon root/morphology database.,high,Canonical root family
VIN,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0149; LX-V2-0100; LX-V2-0201,Pull; extraction; drawing out essence,tharvin; phelvin; welvinor,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from lexical family
ZHAEL,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0199; LX-V4-0063; LX-V3-0105,Bloom; renewal; soft opening; empathy,Zhaelor; zhaelin,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from lexical family
NK,root,established_root,explicit_root_in_source_db,Root,RM-V2-0020,Endurance; hidden strength,Nkathal; Nkuraeth; Nkuthar,Already formalized as a root in the canon root/morphology database.,high,Established root family
NKU,root,established_root,explicit_root_in_source_db,Root,RM-V2-0027,Hidden nurturing; held calm,Nkural; Nkuvath; Nkuthan,Already formalized as a root in the canon root/morphology database.,high,Established root family
PHEL,root,established_root,explicit_root_in_source_db,Root,RM-V2-0007,Warmth; comfort; soothing ease,phelvin; phelrin; phelmorin,Already formalized as a root in the canon root/morphology database.,high,Canonical root family
PRAK,root,established_root,explicit_root_in_source_db,Root,RM-V2-0008,Softness; tenderness; gentle texture,praketh; prakorin,Already formalized as a root in the canon root/morphology database.,high,Canonical root family
BROS,root,established_root,explicit_root_in_source_db,Root,RM-V2-0004,Layering; stratification; stacked texture,brosrin; broslak,Already formalized as a root in the canon root/morphology database.,high,Canonical root family
BAL,root,established_root,explicit_root_in_source_db,Root,RM-V2-0005,Sprouting; development; budding growth,balrin,Already formalized as a root in the canon root/morphology database.,high,Canonical root family
BREN,root,established_root,explicit_root_in_source_db,Root,RM-V2-0006,Gathering; harvest; collected yield,brenmor; brenvor,Already formalized as a root in the canon root/morphology database.,high,Canonical root family
JEL,root,established_root,explicit_root_in_source_db,Root,RM-V2-0013,Zest; bright flavor; sensory sharpness,jelvor,Already formalized as a root in the canon root/morphology database.,high,Canonical root family
WEL,root,established_root,explicit_root_in_source_db,Root,RM-V2-0015,Communal flow; sharing; seamless connection,welrim; welmor; welvinor,Already formalized as a root in the canon root/morphology database.,high,Canonical root family
ARTH,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0035; LX-V2-0128; LX-V3-0086,Protection; defense; purposeful shielding,arth; Arthen; arthlor,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from lexical family
XAR,root,established_root,explicit_root_in_source_db,Root,RM-V2-0019,Cover; veil; concealment for protection,xarvel; xaresh; xarvethral,Already formalized as a root in the canon root/morphology database.,high,Canonical root family
XIL,root,established_root,explicit_root_in_source_db,Root,RM-V2-0018,Shard; fragment; hidden crystal detail,xilvar; xilbren,Already formalized as a root in the canon root/morphology database.,high,Canonical root family
MB,root,established_root,explicit_root_in_source_db,Root,RM-V2-0022,Support; pillar; foundational weight,Mbalan; Mbanoth; Mbalor,Already formalized as a root in the canon root/morphology database.,high,Canonical root family
SHAN,root,promoted_root,canon_lexical_family,lexical evidence,LX-V3-0109; LX-V3-0110; LX-V3-0113,Passing; transfer; handoff between states,Terrashaneth; Velpralim; Dralshaneth,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from ritual families
REK,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0210; LX-V2-0200,Peak intensity; burning or heated state,krezrek; fenrek,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from lexical family
RAV,root,established_root,explicit_root_in_source_db,Root; Conceptual root,RM-V2-0021; RM-S3-0021,Pull; yearning; destiny attraction,ravokha; Ravialor; terrarav,Already formalized as a root in the canon root/morphology database.,high,Canonical conceptual root
THAEN,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0012; LX-V2-0202; LX-V3-0117,Spirit-breath; still internal seasonality,velthaen; Amthaen,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from lexical family
ELOR,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0199; LX-V3-0114,Growth; upward alignment; unfolding maturity,Zhirelorim,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from lexical family
ZHEL,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0167,Spark; energy; quick power-flash,zhelvek,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from technical lexicon
MEK,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0168,Forging; construction; artificial making,velmek; zhelvek,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from technical lexicon
VEK,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0167,Carrier; vessel; transported charge or substance,zhelvek,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from technical lexicon
LIVAR,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0171,Preservation; salt-fixing; anti-decay,drenlivar,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from culinary lexicon
TENAR,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0164; LX-V2-0172,Radiance; steady glow,tenarorin; eshtenor,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from lexical family
MARIN,root,promoted_root,canon_lexical_family,lexical evidence,LX-V4-0062; LX-V3-0116,Branch; extension; outward-growing limb,velmarin,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from lexical family
FENNIL,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0176,Leaf; herb; soft medicinal greens,terafennil,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from culinary lexicon
VILOR,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0166; LX-V2-0184,Berry essence; small sweet fruit,jorvilor; eshvilor,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from culinary lexicon
ALOR,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0207; LX-V2-0208,Falling; descent; downward motion,drenalor,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from weather lexicon
THAEL,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0203; LX-V3-0117,Gentle motion; breeze-like rhythm,eshthael; velthaelvok,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from lexical family
ARSHOR,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0206,Enveloping presence; atmospheric blanket,velarshor,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from weather lexicon
TORIN,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0188; LX-V2-0189,Protein; meat; concentrated animal sustenance,kreztorin,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from culinary lexicon
TARIN,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0181; LX-V2-0155,Dried sweetness; sun-preserved fruit,voktarin,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from culinary lexicon
SORIL,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0192,Depth of flavor; complex taste-body,vethsoril,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from culinary lexicon
THAM,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0183,Mashing; softening; breaking structure down,velthamor,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from culinary lexicon
VENAK,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0113; LX-V2-0187,Warmth-vessel; held heat; stew-state,worvenak; morvenak,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from culinary lexicon
LAK,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0147; LX-V2-0150,Grain; earthy food-substance; bread material,morlak; broslak,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from culinary lexicon
UNAR,root,promoted_root,canon_lexical_only,lexical evidence,LX-V3-0134,One; unit of singularity,Unar,"Present in canon lexicon as a stable lexical base, but not yet formalized in the root/morphology database.",medium,Promoted from number lexicon
DEL,root,promoted_root,canon_lexical_only,lexical evidence,LX-V3-0135,Two; unit of pairing,Del,"Present in canon lexicon as a stable lexical base, but not yet formalized in the root/morphology database.",medium,Promoted from number lexicon
TREN,root,promoted_root,canon_lexical_only,lexical evidence,LX-V3-0136,Three; unit of triad,Tren,"Present in canon lexicon as a stable lexical base, but not yet formalized in the root/morphology database.",medium,Promoted from number lexicon
QUEN,root,promoted_root,canon_lexical_only,lexical evidence,LX-V3-0137,Four; unit of square-foundation,Quen,"Present in canon lexicon as a stable lexical base, but not yet formalized in the root/morphology database.",medium,Promoted from number lexicon
PETH,root,promoted_root,canon_lexical_only,lexical evidence,LX-V3-0138,Five; unit of the hand,Peth,"Present in canon lexicon as a stable lexical base, but not yet formalized in the root/morphology database.",medium,Promoted from number lexicon
SENAR,root,promoted_root,canon_lexical_only,lexical evidence,LX-V3-0139,Six; unit of elemental set,Senar,"Present in canon lexicon as a stable lexical base, but not yet formalized in the root/morphology database.",medium,Promoted from number lexicon
SETHE,root,promoted_root,canon_lexical_only,lexical evidence,LX-V3-0140,Seven; unit of week-cycle,Sethe,"Present in canon lexicon as a stable lexical base, but not yet formalized in the root/morphology database.",medium,Promoted from number lexicon
OVEN,root,promoted_root,canon_lexical_only,lexical evidence,LX-V3-0141,Eight; unit of the nations,Oven,"Present in canon lexicon as a stable lexical base, but not yet formalized in the root/morphology database.",medium,Promoted from number lexicon
NEVAR,root,promoted_root,canon_lexical_only,lexical evidence,LX-V3-0142,Nine; unit of threshold,Nevar,"Present in canon lexicon as a stable lexical base, but not yet formalized in the root/morphology database.",medium,Promoted from number lexicon
IM,morpheme,promoted_morpheme,canon_pattern_inference,inferred morpheme,LX-V3-0110; LX-V3-0111; LX-V3-0114,Internal essence; abstract result-state,Velpralim; Kreztharim; Morlatharim,"Recoverable from recurring derivational patterns in canon lexical items, though not explicitly formalized in the source root/morphology database.",medium-high,Promoted from ritual nouns
ASH,morpheme,promoted_morpheme,canon_pattern_inference,inferred morpheme,LX-V2-0083; LX-V2-0021,Realized domain; concrete manifestation; bounded expression,Lorash; Varash,"Useful editorial promotion inferred from repeated noun patterns, but not yet explicitly named in the canon root/morphology database.",medium,Promoted from inferred noun family
ATH,morpheme,established_morpheme,explicit_morpheme_in_source_db,Suffix,RM-V1-0007,Completion; perfected or enduring state,-ath; Varath; Drenkorath,"Already formalized in the canon root/morphology database, but as a morpheme rather than a root.",high,Established suffix with expanded semantic use
RAL,morpheme,promoted_morpheme,canon_pattern_inference,inferred morpheme,LX-V3-0046; LX-V3-0058; LX-V2-0124,Caretaker; watcher; one defined by vigilance,Xarvethral; vethral; Nkural,"Recoverable from recurring derivational patterns in canon lexical items, though not explicitly formalized in the source root/morphology database.",medium-high,Promoted from agentive family
EL,morpheme,established_morpheme,explicit_morpheme_in_source_db,Suffix,RM-V3-0012,Beloved bond; endearment; attached affection,-el; Azfel; Ohmbaen-el,"Already formalized in the canon root/morphology database, but as a morpheme rather than a root.",high,Established suffix with affective force
KA,morpheme,established_morpheme,explicit_morpheme_in_source_db,Particle,RM-V1-0014,"Linking, possession, or without-state depending on context",-ka; sharaka; Lia-ka,"Already formalized in the canon root/morphology database, but as a morpheme rather than a root.",high,Established particle
RA,morpheme,established_morpheme,explicit_morpheme_in_source_db,Particle,RM-V1-0010,Query force; interrogative seeking,Ra,"Already formalized in the canon root/morphology database, but as a morpheme rather than a root.",high,Established particle
VA,morpheme,established_morpheme,explicit_morpheme_in_source_db,Particle,RM-V1-0011,Imperative force; command energy,Va,"Already formalized in the canon root/morphology database, but as a morpheme rather than a root.",high,Established particle
OR,morpheme,established_morpheme,explicit_morpheme_in_source_db,Suffix,RM-V2-0031,Domain; place; time-bounded space,-or; Shalor; Nethor,"Already formalized in the canon root/morphology database, but as a morpheme rather than a root.",high,Established suffix
VAN,root,created_root,editorial_inference,editorial creation,PE-V2-0073; PE-V2-0114; PE-V3-0117; PE-V3-0126; PE-V3-0128,Commercial site; market-space; shop-place,Evan; Eshvan,"Introduced deliberately for the expanded root system to explain attested place-forms, rather than directly recovered from an explicit source entry.",low-medium,Created root inferred from market-place forms
DRO,root,promoted_root,user_approved_expansion,Lexical family,LX-V3-0014; LX-NE1-0001; LX-NE1-0002; LX-NE1-0003; LX-NE1-0004; LX-NE1-0008,Basic physical water,Dro; Droshen; Drokav; Droral; Drobel; Drosel,Promoted after user approval of a productive mundane-water family distinct from symbolic Dren.,high,National Expansion 1.
MAHR,root,promoted_root,user_approved_expansion,Lexical family,LX-V2-0076; LX-NE1-0006; LX-NE1-0007; LX-NE1-0009; LX-NE1-0010,Ocean; sea,Mahr; Mahrowek; Mahrkal; Mahrvek; Lormahr,Promoted after user approval of a productive ocean and maritime family.,high,National Expansion 1.
AWEK,root,promoted_root,user_approved_expansion,Lexical family,LX-V2-0079; LX-NE1-0005,Natural water spring; source,Awek; Awekshara,Promoted after user approval of a spring-water compound; kept distinct from Zhaelor spring season.,high,National Expansion 1.
DOR,root,created_root,user_approved_expansion,Primitive root,LX-CNE1-0001,Deliberate placement; setting at a location,Dor,Approved as a high-frequency primitive for ordinary placement.,high,Conversational Narrative Engine 1.
DAR,root,created_root,user_approved_expansion,Primitive root,LX-CNE1-0009,Deliberate pending pause; waiting,Dar,Approved as a high-frequency primitive for waiting and its imperative interruption use.,high,Conversational Narrative Engine 1.
SIV,root,created_root,user_approved_expansion,Primitive root,LX-CNE1-0010; LX-CNE1-0011; LX-CNE1-0012,Directed effort under uncertainty; attempt,Siv; Sivathaen; Sivrethaen,Approved as a high-frequency primitive with only the explicitly approved success and failure derivatives.,high,Conversational Narrative Engine 1.
KES,root,created_root,user_approved_expansion,Primitive root,LX-CNE1-0016,Attention; mental registration; noticing,Kes,Approved as a high-frequency primitive for ordinary awareness.,high,Conversational Narrative Engine 1.
SHEM,root,created_root,user_approved_expansion,Primitive root,LX-DSL1-0001,Handled scooping implement,Shem,Approved as a high-frequency primitive for spoons ladles and handled scooping tools.,high,Domestic and Sensory Life 1; no unlisted derivatives authorized.
RASK,root,created_root,user_approved_expansion,Primitive root,LX-DSL1-0008; LX-DSL1-0009,Animal skin; raw hide,Rask; Mekrask,Approved to distinguish raw hide from intentionally prepared leather.,high,Domestic and Sensory Life 1; only the listed derivative is authorized.
LEM,root,created_root,user_approved_expansion,Primitive root,LX-DSL1-0010; LX-DSL1-0011,Workable natural clay,Lem; Lemath,Approved for shapeable clay and its completed durable ceramic state.,high,Domestic and Sensory Life 1; only the listed derivative is authorized.
TIR,root,created_root,user_approved_expansion,Primitive root,LX-DSL1-0013; LX-DSL1-0014,Copper,Tir; Tirkal,Approved for copper and the specifically accepted strengthened-copper bronze form.,high,Domestic and Sensory Life 1; only the listed derivative is authorized.
AIV,root,created_root,user_approved_expansion,Primitive root,LX-DSL1-0015; LX-DSL1-0016; LX-DSL1-0017; LX-DSL1-0018; LX-DSL1-0039,Bodily pain; physical hurt,Aiv; Aivaen; Pelaivaen; Rekaivaen; Aivkor,Approved for ordinary bodily pain and only the listed pain and injury derivatives.,high,Domestic and Sensory Life 1; distinct from Aie and Aia reactions.
TESH,root,created_root,user_approved_expansion,Primitive root,LX-DSL1-0040; LX-DSL1-0019,Surface irritation; itching urge,Tesh; Teshaen,Approved as a high-frequency primitive with an independently lexicalized noun and the listed verb.,high,Domestic and Sensory Life 1; no unlisted derivatives authorized.
RIV,root,created_root,user_approved_expansion,Primitive root,LX-DSL1-0041; LX-DSL1-0020,Fine involuntary trembling,Riv; Rivaen,Approved as a high-frequency primitive with an independently lexicalized noun and the listed verb.,high,Domestic and Sensory Life 1; no unlisted derivatives authorized.
ZEM,root,created_root,user_approved_expansion,Primitive root,LX-DSL1-0027,Workable wood; timber,Zem,Approved to distinguish wood as material from a living tree or branch.,high,Domestic and Sensory Life 1; no unlisted derivatives authorized.
KREN,root,created_root,user_approved_expansion,Primitive root,LX-DSL1-0028,Metal as a general material class,Kren,Approved because the existing roots did not support a clean generic metal term.,high,Domestic and Sensory Life 1; replaces the withdrawn Mekmor proposal.
NUM,root,created_root,user_approved_expansion,Primitive root,LX-DSL1-0042; LX-DSL1-0032,Swallowing; inward throat passage,Num; Numaen,Approved as a high-frequency primitive with an independently lexicalized noun and the listed verb.,high,Domestic and Sensory Life 1; no unlisted derivatives authorized.
NOL,root,created_root,user_approved_expansion,Primitive root,LX-DSL1-0043; LX-DSL1-0033,Olfactory perception,Nol; Nolaen,Approved as a high-frequency primitive with an independently lexicalized noun and the listed perception verb.,high,Domestic and Sensory Life 1; no unlisted derivatives authorized.
TOV,root,created_root,user_approved_expansion,Primitive root,LX-DSL1-0044; LX-DSL1-0034,Physical contact; contact perception,Tov; Tovaen,Approved as a high-frequency primitive with an independently lexicalized noun and the listed verb.,high,Domestic and Sensory Life 1; no unlisted derivatives authorized.
